,model,sequence,activationDense,optimizer,dropout1,units,epochs,batchsize,validation_split,RMSE,MSE,MAE,Time
0,DNN,1d,tanh,adam,0.7794062193640215,22,85,23,0.2,0.044817857444286346,0.002008640207350254,0.026197586208581924,39.93927454948425
0,DNN,1d,sigmoid,adam,0.795696407994891,97,98,43,0.1,0.043326485902071,0.0018771844916045666,0.02601039595901966,70.98528146743774
0,DNN,1d,sigmoid,adam,0.7794062193640215,22,85,23,0.2,0.04320138692855835,0.0018663599621504545,0.025944428518414497,39.954674243927
0,DNN,1d,tanh,adadelta,0.795696407994891,97,98,43,0.1,0.2911260724067688,0.08475438505411148,0.28863418102264404,70.4985499382019
0,DNN,1d,tanh,adadelta,0.7794062193640215,22,85,23,0.2,0.16288626194000244,0.02653193287551403,0.15962018072605133,40.04785752296448
0,DNN,1d,sigmoid,adadelta,0.795696407994891,97,98,43,0.1,0.08700975030660629,0.007570696994662285,0.07987458258867264,70.73938226699829
0,DNN,1d,sigmoid,adadelta,0.7794062193640215,22,85,23,0.2,0.07130005210638046,0.005083697848021984,0.06347596645355225,39.990984201431274
0,DNN,1d,tanh,adamax,0.795696407994891,97,98,43,0.1,0.044120658189058304,0.0019466326339170337,0.026107830926775932,70.42355418205261
0,DNN,1d,tanh,adamax,0.7794062193640215,22,85,23,0.2,0.04397502914071083,0.00193380331620574,0.025837799534201622,40.264103412628174
0,DNN,1d,sigmoid,adamax,0.795696407994891,97,98,43,0.1,0.04324813187122345,0.0018704008543863893,0.02599506452679634,70.89094686508179
0,DNN,1d,sigmoid,adamax,0.7794062193640215,22,85,23,0.2,0.04340166971087456,0.001883705030195415,0.026018602773547173,40.00578212738037
0,DNN,3d,tanh,adam,0.795696407994891,97,98,43,0.1,0.04351630061864853,0.001893668551929295,0.025170207023620605,175.17628717422485
0,DNN,3d,tanh,adam,0.7794062193640215,22,85,23,0.2,0.045154061168432236,0.002038889331743121,0.025485219433903694,64.7225935459137
0,DNN,3d,sigmoid,adam,0.795696407994891,97,98,43,0.1,0.04293004795908928,0.0018429888878017664,0.025070125237107277,173.42216730117798
0,DNN,3d,sigmoid,adam,0.7794062193640215,22,85,23,0.2,0.0430712066590786,0.001855128793977201,0.02510346844792366,64.34763741493225
0,DNN,3d,tanh,adadelta,0.795696407994891,97,98,43,0.1,0.09092102199792862,0.008266632445156574,0.08916893601417542,174.513765335083
0,DNN,3d,tanh,adadelta,0.7794062193640215,22,85,23,0.2,0.11648692935705185,0.01356920413672924,0.11293605715036392,64.61616849899292
0,DNN,3d,sigmoid,adadelta,0.795696407994891,97,98,43,0.1,0.06749766319990158,0.0045559341087937355,0.059625256806612015,172.99929404258728
