,model,sequence,activationDense,optimizer,dropout1,units,epochs,batchsize,validation_split,RMSE,MSE,MAE,Time
0,LSTM,1h,tanh,adam,0.40519643149940265,40,68,45,0.1,0.5817744135856628,0.3384614586830139,0.15927675366401672,27.412817239761353
0,LSTM,1h,tanh,adam,0.11814836227952394,55,36,9,0.2,0.5819156169891357,0.3386257588863373,0.15112201869487762,51.12305450439453
0,LSTM,1h,sigmoid,adam,0.40519643149940265,40,68,45,0.1,0.7525270581245422,0.5662969350814819,0.48368367552757263,28.099231719970703
0,LSTM,1h,sigmoid,adam,0.11814836227952394,55,36,9,0.2,0.7580533623695374,0.574644923210144,0.4832281172275543,35.80128622055054
0,LSTM,1h,tanh,adadelta,0.40519643149940265,40,68,45,0.1,0.9588903784751892,0.9194707870483398,0.6691351532936096,27.464905261993408
0,LSTM,1h,tanh,adadelta,0.11814836227952394,55,36,9,0.2,0.9327095746994019,0.8699471354484558,0.6398122310638428,51.92017316818237
0,LSTM,1h,sigmoid,adadelta,0.40519643149940265,40,68,45,0.1,1.1186565160751343,1.2513924837112427,0.9236927032470703,29.166857481002808
0,LSTM,1h,sigmoid,adadelta,0.11814836227952394,55,36,9,0.2,1.1031606197357178,1.2169634103775024,0.9089863300323486,52.62877559661865
0,LSTM,1h,tanh,adamax,0.40519643149940265,40,68,45,0.1,0.5848788022994995,0.342083215713501,0.16160070896148682,27.472850561141968
0,LSTM,1h,tanh,adamax,0.11814836227952394,55,36,9,0.2,0.5828018188476562,0.3396579623222351,0.15362730622291565,51.26910877227783
0,LSTM,1h,sigmoid,adamax,0.40519643149940265,40,68,45,0.1,0.7526429295539856,0.5664713978767395,0.4847423732280731,28.038204193115234
0,LSTM,1h,sigmoid,adamax,0.11814836227952394,55,36,9,0.2,0.7518794536590576,0.5653226971626282,0.48266497254371643,52.554423809051514
0,LSTM,3h,tanh,adam,0.40519643149940265,40,68,45,0.1,0.5866550803184509,0.3441641628742218,0.1714744120836258,34.46935534477234
0,LSTM,3h,tanh,adam,0.11814836227952394,55,36,9,0.2,0.5855733156204224,0.34289607405662537,0.16565759479999542,103.10356855392456
0,LSTM,3h,sigmoid,adam,0.40519643149940265,40,68,45,0.1,0.7570937275886536,0.5731908679008484,0.49560603499412537,50.67752957344055
0,LSTM,3h,sigmoid,adam,0.11814836227952394,55,36,9,0.2,0.7660003900527954,0.5867565870285034,0.4969097077846527,104.57192826271057
0,LSTM,3h,tanh,adadelta,0.40519643149940265,40,68,45,0.1,0.9662045836448669,0.9335512518882751,0.6700986623764038,50.471102476119995
0,LSTM,3h,tanh,adadelta,0.11814836227952394,55,36,9,0.2,0.8943026661872864,0.7997772693634033,0.5930106043815613,103.2042829990387
0,LSTM,3h,sigmoid,adadelta,0.40519643149940265,40,68,45,0.1,1.1193692684173584,1.2529875040054321,0.9247866868972778,51.19877076148987
0,LSTM,3h,sigmoid,adadelta,0.11814836227952394,55,36,9,0.2,1.0934911966323853,1.195723056793213,0.8990458846092224,102.7319438457489
0,LSTM,3h,tanh,adamax,0.40519643149940265,40,68,45,0.1,0.5878611207008362,0.34558072686195374,0.17525534331798553,50.554858684539795
0,LSTM,3h,tanh,adamax,0.11814836227952394,55,36,9,0.2,0.5855141878128052,0.34282684326171875,0.16913078725337982,105.72694277763367
0,LSTM,3h,sigmoid,adamax,0.40519643149940265,40,68,45,0.1,0.7579363584518433,0.5744674801826477,0.496013879776001,51.192992210388184
0,LSTM,3h,sigmoid,adamax,0.11814836227952394,55,36,9,0.2,0.756929337978363,0.5729420185089111,0.4941525459289551,102.66195869445801
0,LSTM,6h,tanh,adam,0.40519643149940265,40,68,45,0.1,0.6016479730606079,0.36198028922080994,0.18864892423152924,67.7232837677002
0,LSTM,6h,tanh,adam,0.11814836227952394,55,36,9,0.2,0.612200140953064,0.3747890293598175,0.18837828934192657,87.66285276412964
0,LSTM,6h,sigmoid,adam,0.40519643149940265,40,68,45,0.1,0.7654052972793579,0.5858452320098877,0.5056858658790588,87.32253789901733
0,LSTM,6h,sigmoid,adam,0.11814836227952394,55,36,9,0.2,0.7699469923973083,0.5928183794021606,0.5045574307441711,173.4124629497528
