PM25,Anomaly,Time,Model
10,FALSE,2021-01-01T18:10:53Z,GRU
31,FALSE,2021-01-01T18:20:53Z,GRU
76,FALSE,2021-01-01T17:30:53Z,DNN
-11,TRUE,2021-01-01T17:40:53Z,DNN
116,FALSE,2021-01-01T17:50:53Z,DNN
21,FALSE,2021-01-01T18:00:53Z,DNN
10,FALSE,2021-01-01T18:10:53Z,DNN
31,FALSE,2021-01-01T18:20:53Z,DNN
9,FALSE,2021-01-01T18:31:07Z,LSTM
23,FALSE,2021-01-01T18:41:07Z,LSTM
17,FALSE,2021-01-01T18:51:07Z,LSTM
16,FALSE,2021-01-01T19:01:07Z,LSTM
13,FALSE,2021-01-01T19:11:07Z,LSTM
26,TRUE,2021-01-01T19:21:07Z,LSTM
9,FALSE,2021-01-01T18:31:07Z,GRU
23,FALSE,2021-01-01T18:41:07Z,GRU
17,FALSE,2021-01-01T18:51:07Z,GRU
16,FALSE,2021-01-01T19:01:07Z,GRU
13,FALSE,2021-01-01T19:11:07Z,GRU
26,TRUE,2021-01-01T19:21:07Z,GRU
9,TRUE,2021-01-01T18:31:07Z,DNN
23,FALSE,2021-01-01T18:41:07Z,DNN
17,FALSE,2021-01-01T18:51:07Z,DNN
16,FALSE,2021-01-01T19:01:07Z,DNN
13,FALSE,2021-01-01T19:11:07Z,DNN
26,FALSE,2021-01-01T19:21:07Z,DNN
14,FALSE,2021-01-01T19:31:19Z,LSTM
10,FALSE,2021-01-01T19:41:19Z,LSTM
6,TRUE,2021-01-01T19:51:19Z,LSTM
20,FALSE,2021-01-01T20:01:19Z,LSTM
27,FALSE,2021-01-01T20:11:19Z,LSTM
23,FALSE,2021-01-01T20:21:19Z,LSTM
14,FALSE,2021-01-01T19:31:19Z,GRU
10,FALSE,2021-01-01T19:41:19Z,GRU
6,TRUE,2021-01-01T19:51:19Z,GRU
20,FALSE,2021-01-01T20:01:19Z,GRU
27,FALSE,2021-01-01T20:11:19Z,GRU
23,FALSE,2021-01-01T20:21:19Z,GRU
14,FALSE,2021-01-01T19:31:19Z,DNN
10,FALSE,2021-01-01T19:41:19Z,DNN
6,TRUE,2021-01-01T19:51:19Z,DNN
20,FALSE,2021-01-01T20:01:19Z,DNN
27,FALSE,2021-01-01T20:11:19Z,DNN
23,FALSE,2021-01-01T20:21:19Z,DNN
14,FALSE,2021-01-01T20:31:28Z,LSTM
19,FALSE,2021-01-01T20:41:28Z,LSTM
19,FALSE,2021-01-01T20:51:28Z,LSTM
11,FALSE,2021-01-01T21:01:28Z,LSTM
10,FALSE,2021-01-01T21:11:28Z,LSTM
11,FALSE,2021-01-01T21:21:28Z,LSTM
14,FALSE,2021-01-01T20:31:28Z,GRU
19,FALSE,2021-01-01T20:41:28Z,GRU
19,FALSE,2021-01-01T20:51:28Z,GRU
11,FALSE,2021-01-01T21:01:28Z,GRU
10,FALSE,2021-01-01T21:11:28Z,GRU
11,FALSE,2021-01-01T21:21:28Z,GRU
14,FALSE,2021-01-01T20:31:28Z,DNN
19,FALSE,2021-01-01T20:41:28Z,DNN
19,FALSE,2021-01-01T20:51:28Z,DNN
11,FALSE,2021-01-01T21:01:28Z,DNN
10,TRUE,2021-01-01T21:11:28Z,DNN
11,FALSE,2021-01-01T21:21:28Z,DNN
8,FALSE,2021-01-01T21:31:40Z,LSTM
6,FALSE,2021-01-01T21:41:40Z,LSTM
19,FALSE,2021-01-01T21:51:40Z,LSTM
19,FALSE,2021-01-01T22:01:39Z,LSTM
17,FALSE,2021-01-01T22:11:39Z,LSTM
26,TRUE,2021-01-01T22:21:39Z,LSTM
8,FALSE,2021-01-01T21:31:40Z,GRU
6,FALSE,2021-01-01T21:41:40Z,GRU
19,FALSE,2021-01-01T21:51:40Z,GRU
19,FALSE,2021-01-01T22:01:39Z,GRU
17,FALSE,2021-01-01T22:11:39Z,GRU
26,TRUE,2021-01-01T22:21:39Z,GRU
8,FALSE,2021-01-01T21:31:40Z,DNN
6,TRUE,2021-01-01T21:41:40Z,DNN
19,FALSE,2021-01-01T21:51:40Z,DNN
19,FALSE,2021-01-01T22:01:39Z,DNN
17,FALSE,2021-01-01T22:11:39Z,DNN
26,FALSE,2021-01-01T22:21:39Z,DNN
20,FALSE,2021-01-01T22:31:50Z,LSTM
25,TRUE,2021-01-01T22:41:50Z,LSTM
14,FALSE,2021-01-01T22:51:50Z,LSTM
11,FALSE,2021-01-01T23:01:50Z,LSTM
19,FALSE,2021-01-01T23:11:50Z,LSTM
8,FALSE,2021-01-01T23:21:50Z,LSTM
20,FALSE,2021-01-01T22:31:50Z,Isolation Forest
25,FALSE,2021-01-01T22:41:50Z,Isolation Forest
14,FALSE,2021-01-01T22:51:50Z,Isolation Forest
11,FALSE,2021-01-01T23:01:50Z,Isolation Forest
19,FALSE,2021-01-01T23:11:50Z,Isolation Forest
8,FALSE,2021-01-01T23:21:50Z,Isolation Forest
20,FALSE,2021-01-01T22:31:50Z,GRU
25,TRUE,2021-01-01T22:41:50Z,GRU
14,FALSE,2021-01-01T22:51:50Z,GRU
11,FALSE,2021-01-01T23:01:50Z,GRU
19,FALSE,2021-01-01T23:11:50Z,GRU
8,FALSE,2021-01-01T23:21:50Z,GRU
20,FALSE,2021-01-01T22:31:50Z,DNN
25,FALSE,2021-01-01T22:41:50Z,DNN
14,FALSE,2021-01-01T22:51:50Z,DNN
11,FALSE,2021-01-01T23:01:50Z,DNN
19,FALSE,2021-01-01T23:11:50Z,DNN
8,TRUE,2021-01-01T23:21:50Z,DNN
14,TRUE,2021-01-01T23:32:08Z,LSTM
10,FALSE,2021-01-01T23:42:08Z,LSTM
6,FALSE,2021-01-01T23:52:08Z,LSTM
11,FALSE,2021-01-02T00:02:08Z,LSTM
6,FALSE,2021-01-02T00:12:08Z,LSTM
4,FALSE,2021-01-02T00:22:15Z,LSTM
14,TRUE,2021-01-01T23:32:08Z,GRU
10,FALSE,2021-01-01T23:42:08Z,GRU
6,FALSE,2021-01-01T23:52:08Z,GRU
11,FALSE,2021-01-02T00:02:08Z,GRU
6,FALSE,2021-01-02T00:12:08Z,GRU
4,FALSE,2021-01-02T00:22:15Z,GRU
14,FALSE,2021-01-01T23:32:08Z,DNN
10,FALSE,2021-01-01T23:42:08Z,DNN
6,FALSE,2021-01-01T23:52:08Z,DNN
11,FALSE,2021-01-02T00:02:08Z,DNN
6,FALSE,2021-01-02T00:12:08Z,DNN
4,TRUE,2021-01-02T00:22:15Z,DNN
14,FALSE,2021-01-01T23:32:08Z,Isolation Forest
10,FALSE,2021-01-01T23:42:08Z,Isolation Forest
6,FALSE,2021-01-01T23:52:08Z,Isolation Forest
11,FALSE,2021-01-02T00:02:08Z,Isolation Forest
6,FALSE,2021-01-02T00:12:08Z,Isolation Forest
4,FALSE,2021-01-02T00:22:15Z,Isolation Forest
4,FALSE,2021-01-02T00:32:25Z,LSTM
